epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12582.1,1.0199,0.63541,1.02143,0.84791,0.58471,0.67483,0.46694,0.87276,0.53107,0.97821,0.0095941,0.0095941,0.0095941
43,12880.2,1.01543,0.63364,1.01923,0.84796,0.58514,0.67558,0.46775,0.87135,0.5299,0.9774,0.0095842,0.0095842,0.0095842
44,13179.1,1.0139,0.63233,1.01919,0.85081,0.58521,0.67635,0.46873,0.86964,0.52904,0.97646,0.0095743,0.0095743,0.0095743
45,13478,1.01233,0.63181,1.01789,0.8508,0.58603,0.67676,0.4694,0.86842,0.52812,0.97561,0.0095644,0.0095644,0.0095644
46,13773.9,1.00997,0.63076,1.0152,0.85198,0.58652,0.67775,0.47004,0.86662,0.52713,0.97461,0.0095545,0.0095545,0.0095545
47,14074.5,1.00835,0.62594,1.01443,0.85128,0.58809,0.6787,0.4711,0.86488,0.52581,0.97361,0.0095446,0.0095446,0.0095446
48,14375.7,1.00537,0.62512,1.01493,0.85082,0.58889,0.67929,0.47143,0.86337,0.52477,0.97271,0.0095347,0.0095347,0.0095347
49,14679.6,1.00372,0.6259,1.01043,0.8517,0.58917,0.6804,0.47232,0.86141,0.52363,0.97162,0.0095248,0.0095248,0.0095248
50,14983.4,1.00615,0.62326,1.01264,0.85131,0.59087,0.68131,0.4731,0.85981,0.52263,0.97079,0.0095149,0.0095149,0.0095149
51,15289.5,1.00488,0.62273,1.01217,0.85263,0.59042,0.68161,0.47378,0.85848,0.52156,0.96996,0.009505,0.009505,0.009505
52,15595.5,1.00051,0.62149,1.01145,0.85389,0.59139,0.68268,0.47473,0.85701,0.52072,0.96913,0.0094951,0.0094951,0.0094951
53,15895.4,0.99653,0.61917,1.00887,0.85392,0.59216,0.68328,0.47522,0.85532,0.51939,0.96809,0.0094852,0.0094852,0.0094852
54,16194.8,0.99563,0.61522,1.00756,0.85322,0.59275,0.68423,0.47609,0.85369,0.51823,0.96703,0.0094753,0.0094753,0.0094753
55,16496.4,0.9971,0.61618,1.0077,0.85459,0.59317,0.68477,0.47675,0.8521,0.51699,0.96586,0.0094654,0.0094654,0.0094654
56,16798.2,0.99235,0.61474,1.00715,0.8515,0.59515,0.68518,0.47744,0.85089,0.51622,0.96508,0.0094555,0.0094555,0.0094555
57,17097.7,0.99204,0.61079,1.00554,0.85524,0.59415,0.68554,0.47803,0.84908,0.51505,0.96405,0.0094456,0.0094456,0.0094456
58,17396.2,0.98773,0.61248,1.00446,0.85633,0.59467,0.68608,0.4787,0.84772,0.51398,0.96323,0.0094357,0.0094357,0.0094357
59,17697.3,0.98921,0.61088,1.00343,0.85618,0.59557,0.68681,0.47931,0.84628,0.5132,0.9623,0.0094258,0.0094258,0.0094258
60,17999.1,0.98893,0.61058,1.00394,0.85665,0.59578,0.68726,0.48008,0.8446,0.51224,0.9613,0.0094159,0.0094159,0.0094159
61,18296.8,0.98703,0.60834,1.00084,0.85795,0.59687,0.68811,0.48074,0.84325,0.51126,0.96045,0.009406,0.009406,0.009406
62,18593.4,0.98518,0.60813,1.00251,0.85879,0.59731,0.68862,0.48119,0.84187,0.51031,0.9595,0.0093961,0.0093961,0.0093961
63,18892.4,0.98415,0.60684,1.00039,0.85817,0.59867,0.6895,0.48165,0.84044,0.50883,0.95883,0.0093862,0.0093862,0.0093862
64,19191.4,0.98181,0.60438,0.99867,0.85715,0.59947,0.69005,0.4826,0.8389,0.50772,0.95785,0.0093763,0.0093763,0.0093763
65,19488,0.98331,0.60542,0.99937,0.8596,0.59857,0.69046,0.48312,0.83753,0.50644,0.95693,0.0093664,0.0093664,0.0093664
66,19784.7,0.98339,0.60443,0.99854,0.86124,0.59877,0.691,0.48371,0.83614,0.50498,0.95609,0.0093565,0.0093565,0.0093565
67,20086.2,0.9811,0.6039,0.99856,0.86125,0.59951,0.69128,0.48432,0.83462,0.50416,0.95524,0.0093466,0.0093466,0.0093466
68,20389.4,0.97683,0.60093,0.99558,0.86269,0.59975,0.69201,0.48493,0.83306,0.50287,0.95428,0.0093367,0.0093367,0.0093367
69,20689.3,0.97826,0.60133,0.99609,0.86149,0.6009,0.69272,0.4856,0.83171,0.50135,0.95347,0.0093268,0.0093268,0.0093268
70,20987,0.97709,0.59983,0.99738,0.85935,0.60278,0.69359,0.48621,0.83019,0.50007,0.95271,0.0093169,0.0093169,0.0093169
71,21286.7,0.97371,0.5997,0.99479,0.85807,0.60462,0.69432,0.48692,0.82858,0.49871,0.9518,0.009307,0.009307,0.009307
72,21589,0.97546,0.59915,0.99395,0.85807,0.60588,0.69472,0.48754,0.82723,0.49718,0.95094,0.0092971,0.0092971,0.0092971
73,21887.2,0.97331,0.59807,0.99404,0.85954,0.60583,0.69536,0.488,0.82595,0.49593,0.95017,0.0092872,0.0092872,0.0092872
74,22185,0.97384,0.59723,0.99234,0.85814,0.60626,0.69575,0.4887,0.82464,0.49462,0.94944,0.0092773,0.0092773,0.0092773
75,22485.6,0.97137,0.59657,0.99096,0.85965,0.6064,0.6963,0.48941,0.82336,0.49335,0.94876,0.0092674,0.0092674,0.0092674
76,22785.7,0.97318,0.597,0.99268,0.85949,0.60709,0.69676,0.49028,0.8221,0.49231,0.94804,0.0092575,0.0092575,0.0092575
